agent,images,avg_ms,p50_ms,p95_ms,fps,accuracy,avg_conf
YOLO (YOLOv8n),20,85.77,69.11,218.58,11.66,0.3,0.476
EasyOCR,5,853.71,738.22,1882.33,1.17,1.0,0.822
CLIP,0,0,0.0,0.0,0,0,0
Phi-3 (phi3:mini),5,4033.92,3810.47,6158.66,0.25,1.0,0
