agent,images,avg_ms,p50_ms,p95_ms,fps,accuracy,avg_conf
EasyOCR,5,1088.42,1139.97,2042.52,0.92,1.0,0.8288
Phi-3 (phi3:mini),5,14421.55,10805.95,27911.17,0.07,1.0,0
