model,images,wall_s,avg_ms,p50_ms,p95_ms,p99_ms,fps,avg_conf
yolov8n.pt,554,24.02,43.04,31.45,64.57,283.18,23.23,0.5147
yolov8s.pt,554,30.93,55.53,46.2,89.23,297.91,18.01,0.5534
